,energia,cont_pred,cont_test
158,31.16,1.0,0.9545214172395557
159,31.18,1.0,0.9566367001586462
160,31.2,1.0,0.9587519830777367
161,31.22,1.0,0.9619249074563723
162,31.240000000000002,1.0,0.9640401903754627
163,31.26,1.0,0.9762030671602326
164,31.28,1.0,0.9777895293495505
165,31.3,1.0,0.9788471708090957
166,31.32,1.0,0.9804336329984136
167,31.34,1.0,0.9814912744579588
168,31.36,1.0,0.9825489159175039
169,31.38,1.0,0.9841353781068218
170,31.4,1.0,0.985193019566367
171,31.42,1.0,0.9883659439450027
172,31.44,1.0,0.9994711792702274
173,31.46,1.0,1.0
174,31.48,1.0,1.0
175,31.5,1.0,1.0
176,31.52,1.0,1.0
177,31.54,1.0,1.0
178,31.56,1.0,1.0
179,31.58,1.0,1.0
180,31.6,1.0,1.0
181,31.62,1.0,1.0
182,31.64,1.0,1.0
183,31.66,1.0,1.0
184,31.68,1.0,1.0
185,31.7,1.0,1.0
186,31.72,1.0,1.0
187,31.740000000000002,1.0,1.0
188,31.76,1.0,1.0
189,31.78,1.0,1.0
190,31.8,1.0,1.0
191,31.82,1.0,1.0
192,31.84,1.0,1.0
193,31.86,1.0,1.0
194,31.88,1.0,1.0
195,31.9,1.0,1.0
196,31.92,1.0,1.0
197,31.94,1.0,1.0
198,31.96,1.0,1.0
199,31.98,1.0,1.0
