,energia,cont_pred,cont_test,cont_lumi_test,cont_lumi_pred
0,28.0,0.0,0.0,0.0,0.0
1,28.02,0.0,0.0,0.0,0.0
2,28.04,0.0,0.0,0.0,0.0
3,28.06,0.0,0.0,0.0,0.0
4,28.08,0.0,0.0,0.0,0.0
5,28.1,0.0,0.0,0.0,0.0
6,28.12,0.0,0.0,0.0,0.0
7,28.14,0.0,0.0,0.0,0.0
8,28.16,0.0,0.0,0.0,0.0
9,28.18,0.0,0.0,0.0,0.0
10,28.2,0.0,0.0,0.0,0.0
11,28.22,0.0,0.0,0.0,0.0
12,28.24,0.0,0.0,0.0,0.0
13,28.26,0.0,0.0,0.0,0.0
14,28.28,0.0,0.0,0.0,0.0
15,28.3,0.0,0.0,0.0,0.0
16,28.32,0.0,0.0,0.0,0.0
17,28.34,0.0,0.0,0.0,0.0
18,28.36,0.0,0.0,0.0,0.0
19,28.38,0.0,0.0,0.0,0.0
20,28.4,0.0,0.0,0.0,0.0
21,28.42,0.0,0.0,0.0,0.0
22,28.44,0.0,0.0,0.0,0.0
23,28.46,0.0,0.0,0.0,0.0
24,28.48,0.0,0.0,0.0,0.0
25,28.5,0.0,0.0,0.0,0.0
26,28.52,0.0,0.0,0.0,0.0
27,28.54,0.0,0.0,0.0,0.0
28,28.56,0.0,0.0,0.0,0.0
29,28.58,0.0,0.0,0.0,0.0
30,28.6,0.0,0.0,0.0,0.0
31,28.62,0.0,0.0,0.0,0.0
32,28.64,0.0,0.0,0.0,0.0
33,28.66,0.0,0.0,0.0,0.0
34,28.68,0.0,0.0,0.0,0.0
35,28.7,0.0,0.0,0.0,0.0
36,28.72,0.0,0.0,0.0,0.0
37,28.74,0.0,0.0,0.0,0.0
38,28.76,0.0,0.0,0.0,0.0
39,28.78,0.0,0.0,0.0,0.0
40,28.8,0.0,0.0,0.0,0.0
41,28.82,0.0,0.0,0.0,0.0
42,28.84,0.0,0.0,0.0,0.0
43,28.86,0.0,0.0,0.0,0.0
44,28.88,0.0,0.0,0.0,0.0
45,28.9,0.0,0.0,0.0,0.0
46,28.92,0.0,0.0,0.0,0.0
47,28.94,0.0,0.0,0.0,0.0
48,28.96,0.0,0.0,0.0,0.0
49,28.98,0.0,0.0,0.0,0.0
50,29.0,0.0,0.0,0.0,0.0
51,29.02,0.0,0.0,0.0,0.0
52,29.04,0.0,0.0,0.0,0.0
53,29.06,0.0,0.0,0.0,0.0
54,29.08,0.0,0.0,0.0,0.0
55,29.1,0.0,0.0,0.0,0.0
56,29.12,0.0,0.0,0.0,0.0
57,29.14,0.0,0.0,0.0,0.0
58,29.16,0.0,0.0,0.0,0.0
59,29.18,0.0,0.0,0.0,0.0
60,29.2,0.0,0.0,0.0,0.0
61,29.22,0.0,0.0,0.0,0.0
62,29.24,0.0,0.0,0.0,0.0
63,29.26,0.0,0.0,0.0,0.0
64,29.28,0.0,0.0,0.0,0.0
65,29.3,0.0,0.0,0.0,0.0
66,29.32,0.0,0.0,0.0,0.0
67,29.34,0.0,0.0,0.0,0.0
68,29.36,0.0,0.0,0.0,0.0
69,29.38,0.0,0.0,0.0,0.0
70,29.4,0.0,0.0,0.0,0.0
71,29.42,0.0,0.0,0.0,0.0
72,29.44,0.0,0.0,0.0,0.0
73,29.46,0.0,0.0,0.0,0.0
74,29.48,0.0,0.0,0.0,0.0
75,29.5,0.0,0.0,0.0,0.0
76,29.52,0.0,0.0,0.0,0.0
77,29.54,0.0,0.0,0.0,0.0
78,29.56,0.0,0.0,0.0,0.0
79,29.58,0.0,0.0,0.0,0.0
80,29.6,0.0,0.0,0.0,0.0
81,29.62,0.0,0.0,0.0,0.0
82,29.64,0.0,0.0,0.0,0.0
83,29.66,0.0,0.0,0.0,0.0
84,29.68,0.0,0.0,0.0,0.0
85,29.7,0.0,0.0,0.0,0.0
86,29.72,0.0,0.0,0.0,0.0
87,29.74,0.0,0.0,0.0,0.0
88,29.76,0.0,0.0,0.0,0.0
89,29.78,0.0,0.0005288207297726071,0.0004590532609008638,0.0
90,29.8,0.0,0.0005288207297726071,0.0004590532609008638,0.0
91,29.82,0.0,0.0026441036488630354,0.0016078274780316954,0.0
92,29.84,0.0,0.0031729243786356425,0.0018390062294353308,0.0
93,29.86,0.0,0.004759386567953464,0.0027764961451365016,0.0
94,29.88,0.0,0.008461131676361713,0.004073044606392629,0.0
95,29.9,0.0,0.01110523532522475,0.004835232010353797,0.0
96,29.92,0.0,0.01850872554204125,0.006045125532048034,0.0
97,29.94,0.0,0.0222104706504495,0.006688154045765099,0.0
98,29.96,0.0,0.0449497620306716,0.01043658695067348,0.0
99,29.98,0.0,0.060814383923849816,0.012070568885205423,0.0
100,30.0,0.1327340031729244,0.07350608143839238,0.013414235624790749,0.09476490728114009
101,30.02,0.13749338974087785,0.10893707033315705,0.032936312443133615,0.09860144097893526
102,30.04,0.14331041776837652,0.1348492860920148,0.0361745067613449,0.10369846931586117
103,30.06,0.1491274457958752,0.18984664198836596,0.04528571118784914,0.10852441683134166
104,30.08,0.15388683236382866,0.23638286620835536,0.05202331426901151,0.11228935158038603
105,30.1,0.16023268112109995,0.3199365415124273,0.07156336792979563,0.11845316957592333
106,30.12,0.16604970914859862,0.3617133791644632,0.08099436532523918,0.12351889782261295
107,30.14,0.1723955579058699,0.370174510840825,0.09058176993697835,0.12914935721272855
108,30.16,0.1787414066631412,0.3738762559492332,0.09306422292439004,0.13483963721338244
109,30.18,0.1866737176097303,0.3770491803278688,0.09598496773257946,0.1416697389856478
110,30.2,0.19566367001586463,0.3881544156530936,0.10480238981607551,0.14969448426254878
111,30.22,0.2025383395029085,0.39344262295081966,0.10931446179453398,0.1562937849938621
112,30.240000000000002,0.2083553675304072,0.3966155473294553,0.11132812101243289,0.16195665220360322
113,30.26,0.2157588577472237,0.40401903754627183,0.1199419071591839,0.16876517303006636
114,30.28,0.2236911686938128,0.4188260179799048,0.13670066148720322,0.17666206436036877
115,30.3,0.2316234796404019,0.4257006874669487,0.14420000734387545,0.18473072681466468
116,30.32,0.2390269698572184,0.4415653093601269,0.16062189056648446,0.19238306879446554
117,30.34,0.24960338445267055,0.4537281861448969,0.17381451795668681,0.20406462951049975
118,30.36,0.2607086197778953,0.4711792702273929,0.19335070943726607,0.21498176653786455
119,30.38,0.2744579587519831,0.48175568482284503,0.2044028492479366,0.22828302951139678
120,30.4,0.28609201480698043,0.49550502379693284,0.2214017090221781,0.2371795449252937
121,30.42,0.3003701745108408,0.5066102591221576,0.23325819986256924,0.2504002162786791
122,30.44,0.31517715494447385,0.523532522474881,0.2573582534759833,0.2628218009909172
123,30.46,0.33051295610787945,0.5346377578001058,0.2711439365256831,0.2759221637602932
124,30.48,0.3437334743521946,0.5473294553146484,0.28767642107038677,0.28632518965231
125,30.5,0.3585404547858276,0.5589635113696457,0.30299128467383146,0.29922220606316013
126,30.52,0.37546271813855103,0.5700687466948704,0.31782502462243234,0.3141155442768237
127,30.54,0.39079851930195664,0.5869910100475939,0.3451381368945062,0.3267388880052446
128,30.56,0.4071919619249075,0.594923320994183,0.35667334136695467,0.3439082444226732
129,30.58,0.4262295081967213,0.6134320465362242,0.38329738004317493,0.3651270338491002
130,30.6,0.446853516657853,0.6372289793759915,0.4125332913174396,0.390044240985366
131,30.62,0.4711792702273929,0.6541512427287149,0.4374674651877673,0.41965854966584837
132,30.64,0.5092543627710207,0.6790058170280275,0.48134457364640587,0.4481420107084744
133,30.66,0.6107879428873612,0.7017451084082496,0.5125328015267588,0.4952380215940162
134,30.68,0.7615018508725542,0.7250132205182444,0.545504098059927,0.5446734919353468
135,30.7,0.7837123215230037,0.7525118984664199,0.5919232272992312,0.5841041756713642
136,30.72,0.8096245372818615,0.7720782654680064,0.6209066089131311,0.6318792855786756
137,30.740000000000002,0.8387096774193549,0.7942887361184559,0.65747911553139,0.6865074847516897
138,30.76,0.8757271285034374,0.8191433104177683,0.7019877014650759,0.757729469268714
139,30.78,0.9079851930195664,0.8434690639873083,0.7439709431570143,0.8195316363880686
140,30.8,0.9497620306716024,0.8498149127445795,0.7531095732291764,0.9004991333876793
141,30.82,0.9867794817556849,0.8566895822316235,0.7635484356185178,0.9732313102996543
142,30.84,0.9989423585404548,0.8651507139079851,0.7760182686527797,0.997732041973272
143,30.86,1.0,0.8741406663141195,0.7916378613215367,1.0
144,30.88,1.0,0.8889476467477525,0.8157786617852807,1.0
145,30.9,1.0,0.8947646747752512,0.8249556908812828,1.0
146,30.92,1.0,0.8995240613432046,0.8317729212588886,1.0
147,30.94,1.0,0.9063987308302486,0.8422504904628357,1.0
148,30.96,1.0,0.9116869381279746,0.849801897658309,1.0
149,30.98,1.0,0.9227921734531994,0.8699359493858781,1.0
150,31.0,1.0,0.9254362771020624,0.8747273937146706,1.0
151,31.02,1.0,0.9301956636700158,0.8824644983296693,1.0
152,31.04,1.0,0.9365415124272871,0.8936176192825901,1.0
153,31.06,1.0,0.9391856160761501,0.8978400760743633,1.0
154,31.08,1.0,0.940772078265468,0.9004680489688742,1.0
155,31.1,1.0,0.9428873611845584,0.9036253133910942,1.0
156,31.12,1.0,0.9439450026441036,0.9055576776444035,1.0
157,31.14,1.0,0.9465891062929667,0.9096559851047705,1.0
158,31.16,1.0,0.9545214172395557,0.9187869219786536,1.0
159,31.18,1.0,0.9566367001586462,0.9228209447296504,1.0
160,31.2,1.0,0.9587519830777367,0.9259964192867257,1.0
161,31.22,1.0,0.9619249074563723,0.9315653755061686,1.0
162,31.240000000000002,1.0,0.9640401903754627,0.9351956569178201,1.0
163,31.26,1.0,0.9762030671602326,0.9571262199818718,1.0
164,31.28,1.0,0.9777895293495505,0.9596378058356608,1.0
165,31.3,1.0,0.9788471708090957,0.9614839324605675,1.0
166,31.32,1.0,0.9804336329984136,0.9640359851213763,1.0
167,31.34,1.0,0.9814912744579588,0.9655338054700282,1.0
168,31.36,1.0,0.9825489159175039,0.9674516152301973,1.0
169,31.38,1.0,0.9841353781068218,0.9705227242609428,1.0
170,31.4,1.0,0.985193019566367,0.9724597305833964,1.0
171,31.42,1.0,0.9883659439450027,0.9777496286302098,1.0
172,31.44,1.0,0.9994711792702274,0.9990843946087097,1.0
173,31.46,1.0,1.0,1.0,1.0
174,31.48,1.0,1.0,1.0,1.0
175,31.5,1.0,1.0,1.0,1.0
176,31.52,1.0,1.0,1.0,1.0
177,31.54,1.0,1.0,1.0,1.0
178,31.56,1.0,1.0,1.0,1.0
179,31.58,1.0,1.0,1.0,1.0
180,31.6,1.0,1.0,1.0,1.0
181,31.62,1.0,1.0,1.0,1.0
182,31.64,1.0,1.0,1.0,1.0
183,31.66,1.0,1.0,1.0,1.0
184,31.68,1.0,1.0,1.0,1.0
185,31.7,1.0,1.0,1.0,1.0
186,31.72,1.0,1.0,1.0,1.0
187,31.740000000000002,1.0,1.0,1.0,1.0
188,31.76,1.0,1.0,1.0,1.0
189,31.78,1.0,1.0,1.0,1.0
190,31.8,1.0,1.0,1.0,1.0
191,31.82,1.0,1.0,1.0,1.0
192,31.84,1.0,1.0,1.0,1.0
193,31.86,1.0,1.0,1.0,1.0
194,31.88,1.0,1.0,1.0,1.0
195,31.9,1.0,1.0,1.0,1.0
196,31.92,1.0,1.0,1.0,1.0
197,31.94,1.0,1.0,1.0,1.0
198,31.96,1.0,1.0,1.0,1.0
199,31.98,1.0,1.0,1.0,1.0
